,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Popularity,ID,TMDB Rating
72,The Umbrella Academy,2019,16+,7.9,77%,1,0,0,0,1,413.793,75006,8.6
73,Marvel's The Punisher,2017,18+,8.5,63%,1,0,0,0,1,63.057,67178,8.1
74,Ash vs Evil Dead,2015,18+,8.4,99%,1,0,0,0,1,52.865,62264,7.7
75,Master of None,2015,18+,8.3,100%,1,0,0,0,1,12.627,64254,7.8
76,Bodyguard,2018,18+,8.1,93%,1,0,0,0,1,15.507,80307,7.9
77,Schitt's Creek,2015,16+,8.4,50%,1,0,1,0,1,29.605,61662,7.4
78,Narcos: Mexico,2018,18+,8.4,88%,1,0,0,0,1,44.567,80968,8
79,The West Wing,1999,16+,8.8,75%,1,0,0,0,1,49.534,688,8.3
80,Bates Motel,2013,18+,8.2,93%,1,0,0,0,1,88.297,46786,7.9
81,Atypical,2017,18+,8.3,87%,1,0,0,0,1,33.636,71578,8
82,Once Upon a Time,2011,7+,7.7,80%,1,0,0,0,1,74.811,39272,6.8
83,Gomorrah,2014,18+,8.7,94%,1,0,0,0,1,32.838,61068,8
84,Making a Murderer,2015,16+,8.6,84%,1,0,0,0,1,12.85,64439,7.8
85,Death Note,2006,18+,9.0,,1,1,0,0,1,75.869,13916,8.5
86,Castlevania,2017,18+,8.2,93%,1,0,0,0,1,46.159,71024,8.2
87,Riverdale,2017,16+,7.0,86%,1,0,0,0,1,288.655,69050,8.6
88,Burn Notice,2007,7+,7.9,88%,1,1,1,0,1,21.71,2919,7.6
89,Fauda,2015,16+,8.3,100%,1,0,0,0,1,15.211,69557,7.1
90,Russian Doll,2019,18+,7.9,96%,1,0,0,0,1,10.876,84977,7.4
91,Our Planet,2019,7+,9.3,93%,1,0,0,0,1,24.437,83880,8.9
92,Big Mouth,2017,18+,8.0,100%,1,0,0,0,1,42.609,74204,7.4
93,American Horror Story,2011,18+,8.0,,1,1,1,0,1,197.268,1413,7.8
94,Gotham,2014,16+,7.8,77%,1,0,0,0,1,131.468,60708,7.3
95,I Am Not Okay with This,2020,18+,7.6,85%,1,0,0,0,1,30.454,90260,8.4
96,Criminal Minds,2005,16+,8.1,,1,0,0,0,1,188.738,4057,8
97,The Vietnam War,2017,18+,9.1,98%,1,0,0,0,1,8.91,46434,8.4
98,Waco,2018,18+,7.9,68%,1,0,0,0,1,11.818,74140,7.7
99,Star Trek,1966,7+,8.3,80%,1,1,1,0,1,59.569,253,8
100,The OA,2016,16+,7.9,84%,1,0,0,0,1,38.788,69061,7.6
101,Outer Banks,2020,18+,7.6,72%,1,0,0,0,1,25.327,100757,8.6
102,The Midnight Gospel,2020,18+,8.4,90%,1,0,0,0,1,39.712,96713,8.4
103,Good Girls,2018,16+,7.9,87%,1,1,0,0,1,33.655,71715,7.5
104,Chilling Adventures of Sabrina,2018,16+,7.6,84%,1,0,0,0,1,95.892,79242,8.3
105,Doctor Foster,2015,16+,7.7,85%,1,0,0,0,1,10.152,63913,7
106,Gilmore Girls,2000,16+,8.1,85%,1,0,0,0,1,44.636,4586,7.7
107,iZombie,2015,16+,7.9,91%,1,0,0,0,1,82.875,60866,7.6
108,Anne with an E,2017,7+,8.6,62%,1,0,0,0,1,263.663,70785,8.8
109,A Series of Unfortunate Events,2017,7+,7.8,96%,1,0,0,0,1,50,65294,7.1
110,Neon Genesis Evangelion,1995,16+,8.5,100%,1,0,0,0,1,45.335,890,8.4
111,Into the Badlands,2015,16+,8.0,83%,1,0,0,0,1,24.402,47450,7.5
112,Monty Python's Flying Circus,1969,16+,8.8,100%,1,0,0,0,1,19.933,849,8.3
113,Jane the Virgin,2014,7+,7.8,100%,1,0,0,0,1,68.913,61418,7.8
114,Halt and Catch Fire,2014,16+,8.4,90%,1,0,0,0,1,19.249,59659,8
115,Grace and Frankie,2015,7+,8.3,89%,1,0,0,0,1,19.979,62320,7.4
116,NCIS,2003,16+,7.8,40%,1,0,0,0,1,169.063,4614,7.1
117,Weeds,2005,18+,7.9,70%,1,0,0,0,1,43.213,186,7.2
118,GLOW,2017,18+,8.0,93%,1,0,0,0,1,16.548,70573,7.5
119,Person of Interest,2011,16+,8.4,,1,0,0,0,1,83.308,1411,8
120,13 Reasons Why,2017,18+,7.8,39%,1,0,0,0,1,117.015,66788,7.7
121,Godless,2017,16+,8.3,85%,1,0,0,0,1,14.188,73467,7.8
122,Locked Up,2015,16+,8.3,100%,1,0,0,0,1,183.764,62455,8.1
123,Mushi-Shi,2005,16+,8.5,100%,1,1,1,0,1,23.188,26867,8.2
124,Gossip Girl,2008,16+,7.4,84%,1,0,0,0,1,87.964,1395,8
125,Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,1,0,0,0,1,27.968,61671,7.2
126,Lost in Space,2018,7+,7.3,75%,1,0,0,0,1,38.988,75758,7.5
127,Scandal,2012,16+,7.7,93%,1,0,0,0,1,35.576,39269,6.9
128,Hunter x Hunter,2011,16+,8.9,,1,1,0,0,1,81.353,46298,8.5
129,One Day at a Time,2017,7+,8.2,99%,1,0,0,0,1,16.941,2191,6.8
130,DC's Legends of Tomorrow,2016,16+,6.8,87%,1,0,0,0,1,85.163,62643,7
131,Manhunt,2017,16+,8.1,93%,1,0,0,0,1,15.461,72597,7.7
132,Naruto,2002,7+,8.3,,1,1,0,0,1,59.528,106942,9
133,Charmed,1998,16+,7.1,75%,1,0,0,0,1,69.608,1981,8
134,The Dragon Prince,2018,7+,8.4,100%,1,0,0,0,1,28.963,81046,8.5
135,Locke & Key,2020,16+,7.4,67%,1,0,0,0,1,34.035,86423,8.3
136,Alias Grace,2017,18+,7.8,99%,1,0,0,0,1,15.923,72615,7.4
137,American Vandal,2017,16+,8.2,97%,1,0,0,0,1,16.018,73126,7.7
138,Santa Clarita Diet,2017,18+,7.8,89%,1,0,0,0,1,20.844,69470,7.5
139,Maniac,2018,16+,7.8,85%,1,0,0,0,1,19.031,73411,7.5
140,Star Trek: Deep Space Nine,1993,7+,7.9,90%,1,1,1,0,1,68.765,580,7.8
141,The Dark Crystal: Age of Resistance,2019,7+,8.5,87%,1,0,0,0,1,34.1,71809,8.3
142,Colony,2016,16+,7.4,92%,1,0,0,0,1,30.23,62858,6.8
143,Wild Wild Country,2018,16+,8.2,98%,1,0,0,0,1,6.523,77601,7.9
144,Rectify,2013,16+,8.3,95%,1,0,0,0,1,23.918,46619,7.6
145,Pose,2018,16+,8.6,96%,1,0,0,0,1,25.805,79084,8.3
146,Marvel's Luke Cage,2016,18+,7.3,87%,1,0,0,0,1,36.026,62126,7
147,Hollywood,2020,18+,7.7,57%,1,0,0,0,1,12.46,87050,7.7
148,Derry Girls,2018,16+,8.4,97%,1,0,0,0,1,7.351,76148,8
149,Dark Matter,2015,18+,7.5,89%,1,0,0,0,1,28.473,62425,6.6
150,On My Block,2018,16+,8.1,97%,1,0,0,0,1,10.814,76747,8.7
151,Law & Order: Special Victims Unit,1999,16+,8.0,,1,1,1,0,1,94.793,549,7.5
152,Longmire,2012,16+,8.3,88%,1,0,0,0,1,25.514,43901,7.8
153,The Tudors,2007,18+,8.1,69%,1,0,0,0,1,22.087,2942,7.8
154,HAPPY!,2017,18+,8.2,84%,1,0,0,0,1,17.77,72339,7.6
155,The Stranger,2020,16+,7.3,89%,1,0,0,0,1,12.367,96608,7.6
156,Call the Midwife,2012,7+,8.4,89%,1,0,0,0,1,21.639,39793,7.1
157,Into the Night,2020,18+,7.2,83%,1,0,0,0,1,24.927,93811,7.4
158,Mystery Science Theater 3000,1988,7+,8.5,80%,1,1,0,0,1,21.796,1952,7.8
159,Resurrection: Ertugrul,2014,16+,7.7,,1,0,0,0,1,40.995,66017,7
160,The Inbetweeners,2008,18+,8.4,54%,1,0,0,0,1,12.431,7317,7.9
161,Reign,2013,16+,7.5,86%,1,0,0,0,1,52.424,48865,7.1
162,Extras,2005,16+,8.3,89%,1,0,1,0,1,10.543,2693,7.9
163,The Kominsky Method,2018,18+,8.2,90%,1,0,0,0,1,10.639,81290,7.4
164,The 4400,2004,7+,7.3,95%,1,0,0,0,1,21.093,1481,7.2
165,The Borgias,2011,18+,7.9,85%,1,0,0,0,1,18.289,33025,7.6
166,Marco Polo,2014,18+,8.0,67%,1,0,0,0,1,18.391,60699,7.4
167,Queer Eye,2018,16+,8.5,91%,1,0,0,0,1,8.128,76922,8.1
168,The Spy,2019,18+,7.9,86%,1,0,0,0,1,10.342,91725,7.5
169,Love,2016,18+,7.7,94%,1,0,0,0,1,93.651,97186,9.1
170,Designated Survivor,2016,7+,7.5,71%,1,0,0,0,1,57.69,67026,7.3
171,Ripper Street,2012,18+,8.1,100%,1,0,0,0,1,17.581,46930,7.5
172,Feel Good,2020,,7.5,100%,1,0,0,0,1,8.85,99610,7.9
173,Hell on Wheels,2011,16+,8.3,72%,1,0,0,0,1,26.5,1401,7.5
174,The Fosters,2013,16+,7.9,97%,1,0,0,0,1,44.463,46880,7.2
175,Hawaii Five-0,2010,16+,7.3,82%,1,0,0,0,1,152.104,32798,7
176,Marvel's The Defenders,2017,18+,7.3,78%,1,0,0,0,1,39.605,62285,7.2
177,Allo 'Allo!,1984,7+,8.3,,1,0,0,0,1,14.585,2211,7.8
178,Supergirl,2015,7+,6.3,88%,1,0,0,0,1,149.578,62688,7
179,Star Trek: Voyager,1995,7+,7.8,77%,1,1,1,0,1,50.742,1855,7.8
180,Limitless,2015,16+,7.7,57%,1,0,0,0,1,70.023,62687,7.2
181,Messiah,2020,18+,7.7,44%,1,0,0,0,1,18.583,81292,7.3
182,The Shannara Chronicles,2016,16+,7.2,77%,1,0,0,0,1,25.433,64122,7
183,Crash Landing on You,2019,16+,8.8,,1,0,0,0,1,12.725,94796,8.8
184,Bleach,2004,18+,8.1,,1,1,0,0,1,6.579,100645,0
185,Top Boy,2011,18+,8.4,95%,1,0,0,0,1,8.968,93544,8.7
186,Jonathan Strange & Mr Norrell,2015,16+,8.2,91%,1,0,0,0,1,20.548,62717,7.7
187,Haven,2010,16+,7.5,63%,1,0,0,0,1,39.568,33001,7.4
188,Queen of the South,2016,16+,7.9,66%,1,0,0,0,1,25.421,66676,7.2
189,Delhi Crime,2019,,8.5,91%,1,0,0,0,1,3.991,87508,8
