,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Popularity,ID,TMDB Rating,Rating Count,Last Episode Rating,Last Air Date,First Air Date,# of Seasons,# of Episodes,Genre,Language,Country,In Production,Origin Network,Similar_1,Similar_2
1363,Hyori's Bed and Breakfast,2017,,8.5,,1,0,0,0,2.823,72763,8.7,6,,2018-05-20,2017-06-25,2,30,,ko,KR,True,JTBC,으라차차 와이키키,맨도롱또똣
1364,The Prince Who Turns into a Frog,2005,,7.2,,1,0,0,0,1.316,6363,7,2,,2005-06-05,2005-06-05,1,1,,zh,TW,False,TTV Main Channel,,
1365,Love O2O,2016,16+,8.0,,1,0,0,0,10.892,66776,5.2,21,,2016-09-06,2016-08-22,1,30,,ko,CN,False,Jiangsu Television,,
1366,Zig and Sharko,2011,all,6.8,,1,0,0,0,8.271,39952,4.3,6,,2016-01-22,2011-09-05,2,156,,it,FR,True,Canal+ Family,The Little Mermaid,푸른 바다의 전설
1367,Some Assembly Required,2014,all,3.5,,1,0,1,0,6.866,62792,6,4,,2016-01-25,2014-01-06,3,58,,en,,,,The Latest Buzz,Lab Rats
1368,Anjaan: Rural Myths,2018,,6.1,,1,0,0,0,1.4,85546,6,1,,2018-01-27,2018-01-08,1,15,,,,,,,
1369,Afflicted,2018,18+,4.9,,1,0,0,0,11.574,81521,4.8,4,,2018-08-10,2018-08-10,1,7,,en,BR,True,Netflix,,
1370,Baby Daddy,2015,16+,6.0,78%,1,0,0,0,27.849,42272,6.9,113,,2017-05-22,2012-06-20,6,100,,en,US,False,ABC Family,What I Like About You,Full House
1371,Romance of Our Parents,2014,,7.6,,1,0,0,0,5.014,79278,10,1,,2014-03-18,2014-02-02,2,90,,zh,CN,False,,,
1372,Fantastic,2016,16+,7.3,,1,0,0,0,10.364,2901,6.6,31,,1996-02-24,1994-09-24,2,26,,de,US,False,UPN,Fantastic Four: World's Greatest Heroes,Fantastic Four
1373,Strong,2016,7+,7.3,,1,0,0,0,15.416,4544,8,6,,2006-02-05,2000-07-23,6,132,,en,US,False,Lifetime,St. Elsewhere,Emergency!
1374,Battlefish,2018,,7.2,,1,0,0,0,0.894,82498,8,1,,2018-09-21,2018-09-21,1,8,,,,,,,
1375,VeggieTales in the City,2017,,6.1,,1,0,0,0,1.575,73479,6.7,3,,2017-05-19,2017-02-24,2,26,,en,US,True,Netflix,,
1376,Chug,2014,,8.1,,1,0,0,0,0.6,91886,8,1,,2014-12-30,2014-11-14,1,6,,en,,,,,
1377,Grizzy & the Lemmings,2016,all,6.6,,1,0,0,0,4.9,74415,7.7,3,,2017-10-18,2016-11-07,2,98,,xx,FR,True,France 3,,
1378,Six Windows in the Desert,2020,,3.9,,1,0,0,0,0.964,99844,10,1,,2020-02-27,2020-02-27,1,6,,ar,SA,True,Netflix,,
1379,Apaches,2015,18+,6.9,,1,0,0,0,4.395,63378,7.3,7,,2015-09-08,2015-09-08,1,12,,es,ES,False,Antena 3,,
1380,Crime Diaries: Night Out,2019,,7.8,,1,0,0,0,9.413,89008,7.1,54,,2019-05-03,2019-05-03,1,8,,es,MX,False,Netflix,Mindhunter,Cardinal
1381,Puerta 7,2020,18+,5.5,,1,0,0,0,10.896,99633,7.2,103,,2020-02-21,2020-02-21,1,8,,es,AR,True,Netflix,,
1382,Pacto de Sangue,2018,,7.0,,1,0,0,0,1.202,81938,7,1,,2018-08-28,2018-08-28,1,8,,pt,BR,True,Space,,
1383,Lockdown,2006,7+,7.3,,1,0,0,0,3.675,65815,7,22,,2018-11-01,2016-03-04,4,36,,en,US,True,Destination America,Ghost Adventures,Paranormal Survivor
1384,Fate/EXTRA Last Encore,2018,18+,5.3,,1,0,0,0,15.779,76123,7.2,36,,2018-07-29,2018-01-27,1,13,,it,JP,False,Tokyo MX,Sonic X,白猫プロジェクトZERO CHRONICLE
1385,Living Undocumented,2019,18+,6.3,,1,0,0,0,1.275,93723,6.3,3,,2019-10-02,2019-10-02,1,6,,en,,,,,
1386,Dawn of the Croods,2015,7+,5.9,,1,0,0,0,8.62,64783,6.9,11,,2017-07-07,2015-12-24,4,89,,en,US,False,Netflix,Aladdin: The Series,Rapunzel's Tangled Adventure
1387,Spirit Riding Free: Riding Academy,2020,,7.1,,1,0,0,0,5.768,101400,8.9,8,,2020-09-04,2020-03-20,2,16,,en,US,True,Netflix,BoJack Horseman,Heartland
1388,The New Adventures of Figaro Pho,2015,all,7.1,,1,1,0,0,0.659,73903,0,0,,2016-01-26,2015-08-31,1,39,,,,,,,
1389,StarBeam,2020,,7.2,,1,0,0,0,2.927,101396,5.6,10,,2020-04-03,2020-04-03,1,8,,en,US,True,Netflix,Goosebumps,The Fairly OddParents
1390,Goodbye Mr. Black,2016,,6.8,,1,0,0,0,5.716,65746,5.5,14,,2016-05-19,2016-03-16,1,20,,ko,KR,False,MBC,,
1391,Monster Fish,2007,,6.7,,1,1,0,0,,,,,,,,,,,,,,,,
1392,Ocean Mysteries with Jeff Corwin,2011,all,8.2,,1,0,1,0,2.98,43213,0,0,,2013-07-20,2011-09-03,2,52,,,,,,,
1393,Spectros,2020,18+,4.4,,1,0,0,0,2.099,99573,7.4,9,,2020-02-20,2020-02-20,1,7,,pt,BR,True,Netflix,Dark Shadows,ノラガミ
1394,revisions,2019,18+,6.1,,1,0,0,0,2.995,83105,6.7,7,,2019-03-19,2019-01-09,1,12,,ja,JP,False,Fuji TV,,
1395,The Mortified Guide,2018,18+,7.8,,1,0,0,0,1.168,77291,7.5,2,,2018-02-15,2018-02-15,1,6,,en,,,,,
1396,Dragons: Rescue Riders,2019,7+,6.4,,1,0,0,0,4.887,94045,5,1,,2020-02-07,2019-09-27,2,26,,en,US,True,Netflix,,
1397,Conspiracy,2015,,6.3,,1,0,0,0,1.4,64192,5.5,4,,2017-03-18,2015-06-12,1,12,,en,GB,True,Channel 5,,
1398,Real Rob,2015,18+,6.4,,1,0,0,0,4.571,64823,5.1,14,,2017-09-29,2015-12-01,2,16,,en,US,False,Netflix,BoJack Horseman,
1399,Too Young to Die,2012,,7.2,,1,0,0,0,2.862,69831,7,3,,2015-12-19,2012-07-14,3,11,,en,DE,True,Arte,,
1400,World's Busiest Cities,2017,,7.3,,1,0,0,0,0.6,73534,8,1,,2017-09-20,2017-08-30,1,4,,en,GB,True,BBC Two,,
1401,White Nights,2016,,7.0,,1,0,0,0,6.789,68410,7.8,8,,2017-01-24,2016-11-21,1,20,,ko,KR,False,MBC,,
1402,Canada's Worst Handyman,2006,7+,4.6,,1,0,0,0,1.96,1728,5,3,,2011-06-13,2006-03-13,6,44,,en,CA,False,Discovery,Bar Rescue,Home Improvement
1403,A Taiwanese Tale of Two Cities,2018,,6.3,,1,0,0,0,2.317,82110,7.3,3,,2019-01-26,2018-09-01,1,20,,zh,TW,False,Netflix,,
1404,Hotel Transylvania,2017,7+,5.3,,1,0,0,0,4.201,72442,6.4,5,,2019-10-25,2017-06-25,2,73,,pl,,,,What We Do in the Shadows,亜人ちゃんは語りたい
1405,Tales of Irish Castles,2015,7+,7.3,,1,0,0,0,0.6,106577,0,0,,2014-07-27,2014-06-22,1,6,,en,,,,,
1406,India's Frontier Railways,2015,,7.9,,1,0,0,0,0.6,104435,0,0,,2015-03-26,2015-03-12,1,3,,en,,,,Snowpiercer,Thomas & Friends
1407,Prisoner Zero,2016,,7.8,,1,0,0,0,1.161,73639,8,2,,2016-10-14,2016-09-19,1,26,,,,,,,
1408,Sniffer,2013,,6.6,,1,0,1,0,8.081,65819,7.1,16,,2019-12-19,2013-11-11,4,32,,ru,UA,True,,A Touch of Frost,The Rookie
1409,Magmel of the Sea Blue,2019,7+,6.2,,1,0,0,0,14.628,85841,5.8,9,,2019-07-01,2019-04-07,1,13,,ja,JP,False,Netflix,炎炎ノ消防隊,ハンターｘハンター
1410,Razia Sultan,2015,,5.7,,1,0,0,0,0.691,87363,0,0,,2019-04-03,2019-04-03,1,1,,,,,,,
1411,Really Me!,2011,,5.3,,1,0,0,0,1.251,39109,5,2,,2013-05-26,2011-04-22,1,11,,en,CA,False,,,
1412,The Unremarkable Juanquini,2020,16+,4.1,,1,0,0,0,11.33,103505,7,164,,2020-05-15,2020-05-15,1,7,,es,CO,True,Netflix,,
1413,The Who Was? Show,2018,,6.5,,1,0,0,0,1.4,79431,6.5,2,,2018-05-11,2018-05-11,1,13,,en,,,,,
1414,Age of Rebellion,2018,,8.6,,1,0,0,0,2.209,82617,6,3,,2018-03-03,2018-03-03,1,,,zh,,,,,
1415,Lo que la verdad esconde: El caso Asunta,2017,16+,7.4,,1,0,0,0,0.855,90421,0,0,,2017-06-07,2017-05-24,1,3,,gl,ES,False,Antena 3,The Act,Manhunt
1416,Castlevania: Hymn of Blood,2012,18+,7.8,,1,0,0,0,1.96,55663,0,0,,2012-12-11,2012-10-23,1,7,,,,,,,
1417,Age of Glory,2016,,7.7,,1,0,0,0,0.62,32844,7,1,,,,0,0,,en,MY,True,Ntv7,,
1418,We Speak Dance,2018,7+,7.5,,1,0,0,0,0.697,79078,8.3,3,,2018-01-01,2018-01-01,1,5,,en,US,True,Netflix,Top Gear,The Grand Tour
1419,Ninja Turtles: The Next Mutation,1997,7+,4.4,,1,0,0,0,5.935,3909,5.7,22,,1998-03-20,1997-09-12,1,26,,en,US,False,FOX,Batman,Marvel's Luke Cage
1420,Don't Watch This,2018,16+,3.2,,1,0,0,0,1.476,83560,3.1,8,,2018-10-29,2018-10-29,1,5,,en,US,False,Netflix,American Horror Story,Castle Rock
1421,Saving Mrs. Go Bong Shil,2011,,7.5,,1,0,0,0,2.067,88057,0,0,,2012-04-15,2011-12-17,1,36,,ko,KR,False,TV Chosun,태양의 후예,"킬미, 힐미"
1422,The Mekong River with Sue Perkins,2014,,7.7,,1,0,0,0,0.887,86321,8,1,,2014-11-30,2014-11-09,1,4,,en,GB,False,BBC Two,Top Gear,The Grand Tour
1423,Monty Python's Personal Best,2006,16+,8.0,,1,0,0,0,1.492,2130,8,1,,2006-03-08,2006-02-22,1,6,,en,GB,False,PBS,30 Rock,Robot Chicken
1424,Fire Chasers,2017,,6.6,,1,0,0,0,1.4,73807,6.7,3,,2017-09-08,2017-09-08,1,4,,en,US,False,Netflix,,
1425,Ainori Love Wagon: African Journey,2020,,7.4,,1,0,0,0,0.845,102496,8,2,,2020-01-30,2020-01-30,1,22,,ja,,,,,
1426,Pacific Heat,2016,16+,5.7,17%,1,0,0,0,2.265,68962,5.3,11,,2016-12-02,2016-11-27,1,13,,en,AU,True,The Comedy Channel,,
1427,72 Dangerous Places to Live,2016,18+,6.4,,1,0,0,0,1.606,70169,4.8,4,,2016-04-25,2016-03-21,1,6,,de,AU,False,ABC,Planet Earth II,Our Planet
1428,A Cook Abroad,2015,,7.4,,1,0,0,0,0.938,65033,7,3,,2015-03-09,2015-01-26,1,6,,,,,,,
1429,The Investigator: A British Crime Story,2016,,5.7,,1,0,0,0,1.614,67172,5.3,7,,2018-08-19,2016-07-14,2,7,,,,,,,
1430,Mythomanic,2019,,6.8,,1,0,0,0,,,,,,,,,,,,,,,,
1431,Club de Cuervos Presents: The Ballad of Hugo Sánchez,2018,18+,6.6,,1,0,0,0,5.347,80280,8,3,,2018-06-17,2018-06-17,1,6,,es,MX,False,Netflix,,
1432,Hello Ninja,2019,all,7.5,,1,0,0,0,3.79,95071,5.5,4,,2020-05-24,2019-11-01,3,21,,en,CA,True,Netflix,,
1433,Murderous Affairs,2016,16+,6.7,,1,0,0,0,1.137,78878,7,1,,2017-06-19,2016-10-05,1,52,,en,US,False,Escape,The Act,Manhunt
1434,Exhibit A,2019,18+,6.2,,1,0,0,0,10.999,90725,8,3,,2019-06-28,2019-06-28,1,4,,en,US,False,Netflix,,
1435,Extreme Engagement,2019,18+,5.5,,1,0,0,0,1.246,91047,6,1,,2019-07-12,2019-07-12,1,8,,de,,,,,
1436,Cupcake & Dino - General Services,2018,7+,7.5,,1,0,0,0,2.233,32994,5.5,6,,2013-12-28,2010-06-13,9,114,,en,US,True,Food Network,,
1437,Earth to Luna!,2014,all,7.4,,1,0,1,0,0.6,76413,4,2,,2014-09-09,2014-08-16,2,78,,en,BR,False,Universal Kids,,
1438,The Great Escape,2012,,5.8,,1,0,0,0,0.62,17431,10,1,,,,0,0,,en,,,,,
1439,Can We Get Married?,2012,,6.7,,1,0,0,0,3.234,46538,7.8,4,,2013-01-01,2012-10-29,1,20,,ko,KR,False,JTBC,,
1440,Super Monsters,2017,all,6.7,,1,0,0,0,7.751,74495,6.8,6,,2019-10-04,2017-10-13,3,41,,en,CA,True,Netflix,デュエル・マスターズ,Disney's Adventures of the Gummi Bears
1441,HaMossad: Sipur Kisuy,2017,,7.6,,1,0,0,0,1.194,86639,9.3,3,,2017-06-25,2017-06-04,1,4,,en,IL,False,Netflix,The Little Drummer Girl,תאג''ד
1442,Lucid Dream,2017,,6.1,,1,0,0,0,1.713,66410,7.5,1,,2015-11-05,2015-05-11,2,2,,ko,KR,False,SBS,あの日見た花の名前を僕達はまだ知らない。,너도 인간이니
1443,Death by Magic,2018,7+,6.1,,1,0,0,0,5.022,84552,7.1,7,,2018-11-30,2018-11-30,1,8,,en,US,True,Netflix,,
1444,Khotey Sikkey,2011,7+,7.3,,1,0,0,0,0.62,35353,8,1,,,,0,0,,en,IO,True,Sony Entertainment Television,,
1445,Japanese Style Originator,2008,,8.2,,1,0,0,0,1.4,73247,8,3,,2009-01-06,2008-01-01,1,54,,ja,JP,True,TV Tokyo,Japanology Plus,Journeys in Japan
1446,Singles Villa,2015,,7.5,,1,0,0,0,2.169,63063,7.5,2,,2015-02-09,2015-01-04,1,24,,zh,CN,False,Hunan Television,,
1447,I Am the Ambassador,2014,,7.2,,1,0,0,0,0.659,66175,7,2,,2015-11-06,2014-11-06,2,10,,en,DK,True,DR3,Queer Eye,RuPaul's Drag Race
1448,The Degenerates,2018,18+,6.1,,1,0,0,0,2.266,83591,4.5,6,,2019-12-31,2018-10-30,2,12,,en,US,True,Netflix,,
1449,Larry Charles' Dangerous World of Comedy,2019,18+,7.3,,1,0,0,0,1.051,86616,5.5,2,,2019-02-15,2019-02-15,1,4,,en,US,True,Netflix,,
1450,Boca Juniors Confidential,2018,all,6.5,,1,0,0,0,1.596,82368,7,2,,2018-09-04,2018-09-04,4,4,,es,,,,,
1451,Under Arrest,2016,16+,7.3,,1,0,0,0,0.84,16423,0,0,,2009-01-03,2008-12-27,1,2,,en,US,True,Fox Reality Channel,,
1452,"Three Wives, One Husband",2018,,6.5,,1,0,0,0,0.603,105577,0,0,,2017-03-23,2017-03-23,1,1,,,,,,,
1453,ReBoot: The Guardian Code,2018,7+,3.7,,1,0,0,0,4.825,78418,6,8,,2018-07-05,2018-06-04,2,30,,en,CA,True,YTV,The Thundermans,Young Justice
1454,Bangkok รัก Stories 2 ตอน ไม่เดียงสา,2018,,6.9,,1,0,0,0,2.678,84001,7,2,,2019-02-05,2018-11-13,1,13,,th,TH,True,GMM 25,幻城,The Bachelor
1455,The Road Trick,2017,,6.8,,1,0,0,0,0.6,86944,6.5,2,,2017-05-11,2017-05-11,1,10,,en,,,,,
1456,Julius Jr.,2014,,5.4,,1,0,0,0,0.84,66135,5,2,,2014-06-05,2014-05-12,1,20,,,,,,,
1457,Becoming Champions,2018,all,6.7,,1,0,0,0,1.4,81309,7,1,,2018-08-01,2018-08-01,1,9,,,,,,Being Mario Götze - Eine deutsche Fußballgeschichte,キャプテン翼
1458,Carver Kings,2015,7+,8.2,,1,0,0,0,0.6,76248,8,2,,2015-07-05,2015-04-05,1,14,,,,,,,
1459,YG Future Strategy Office,2018,7+,7.1,,1,0,0,0,1.497,82834,6,4,,2018-10-05,2018-10-05,1,8,,ko,KR,True,Netflix,Parks and Recreation,Trailer Park Boys
1460,The Many Faces of Ito,2017,,6.7,,1,0,0,0,3.602,75341,7.2,6,,2017-10-04,2017-08-16,1,8,,ja,JP,False,JNN,달의 연인 - 보보경심 려,"우리, 사랑했을까"
1461,Age Gap Love,2014,,5.8,,1,0,0,0,,,,,,,,,,,,,,,,
1462,Three Days of Christmas,2019,18+,6.8,,1,0,0,0,2.321,96208,6.7,3,,2019-12-06,2019-12-06,1,3,,es,,,,,
1463,Empire Games,2018,7+,5.6,,1,0,0,0,0.6,104270,0,0,,2018-10-05,2018-10-05,1,1,,,,,,,
1464,All About the Washingtons,2018,all,4.2,40%,1,0,0,0,2.001,80309,4.6,5,,2018-08-10,2018-08-10,1,10,,en,US,False,Netflix,The Abbott and Costello Show,The Beverly Hillbillies
1465,Nurses Who Kill,2016,,5.9,,1,0,1,0,1.4,73213,6,7,,2016-12-14,2016-10-12,1,10,,en,GB,True,Really,A Place to Call Home,Evil Genius
1466,Black Hollywood: 'They've Gotta Have Us',2018,,7.4,,1,0,0,0,1.795,98803,7,2,,2018-10-27,2018-10-13,1,3,,en,GB,False,BBC Two,The Hollywood Greats,Moguls & Movie Stars
1467,Team Kaylie,2019,,4.2,,1,0,0,0,4.109,93960,8.1,7,,2020-02-03,2019-09-23,3,20,,en,US,True,Netflix,,
1468,Lo Que la Vida Me Robó,2013,,,,1,0,0,0,24.025,58450,7.2,61,,2014-10-06,2013-10-28,1,197,,fr,MX,False,Las Estrellas,The Bachelor,90210
1469,Wake Up,2015,,7.0,,1,0,0,0,2.346,74191,9,2,,2018-01-08,2014-01-11,2,25,,ja,JP,True,TV Tokyo,ラブライブ！サンシャイン!!,天使の3P！
1470,Dino Girl Gauko,2019,7+,7.1,,1,0,0,0,1.4,95579,10,1,,2020-03-20,2019-11-22,2,39,,ja,JP,True,Netflix,,
1471,Liquid Science,2017,,6.4,,1,0,0,0,0.917,80285,7,2,,2017-11-14,2017-11-14,1,11,,en,US,True,Red Bull TV,,
1472,Ocean Giants,2011,,8.2,,1,0,0,0,1.184,64583,7,3,,2011-08-28,2011-08-14,1,3,,en,GB,False,BBC One,Planet Earth II,The Blue Planet
1473,Idiotest,2014,7+,5.7,,1,0,0,0,1.222,69781,5.5,4,,2017-01-19,,1,1,,,,,,,
1474,Jamie and Jimmy's Food Fight Club,2012,,6.9,,1,0,0,0,3.842,55638,7,1,,2017-12-16,2012-12-06,6,34,,en,GB,True,Channel 4,,
1475,Drug Squad: Costa del Sol,2019,,6.6,,1,0,0,0,3.845,89171,6.5,4,,2019-07-22,2019-05-06,1,13,,fr,ES,False,Telecinco,Nicky Jam: El Ganador,El Chapo
1476,Skin Wars: Fresh Paint,2016,16+,6.2,,1,0,0,0,0.66,87221,7,2,,2016-06-15,2016-06-15,1,1,,en,,,,,
1477,A Thousand Goodnights,2019,,,,1,0,0,0,2.144,88168,4.6,5,,2019-06-04,2019-03-29,1,20,,zh,,,,,
1478,My Runway,2016,7+,6.2,,1,0,0,0,14.201,69850,8,2,,2016-12-30,2016-12-30,1,6,,ko,KR,False,tvN,시크릿 가든,φなる・あぷろーち
1479,Africa's Deadliest,2011,,6.9,,1,0,0,0,0.74,61478,7,3,,2019-11-25,2011-09-29,5,18,,en,ZA,True,National Geographic,,
1480,The Rap Game,2016,7+,5.3,,1,1,0,0,4.013,65715,6.6,17,,2019-03-14,2016-01-01,5,56,,en,,,,The Bachelor,Project Runway
1481,Mob Psycho 100,2018,all,5.1,,1,0,0,0,46.165,67075,7.9,117,,2019-04-01,2016-07-12,2,25,,ja,JP,False,Tokyo MX,青の祓魔師,魔法使いの嫁
1482,Flinch,2019,7+,4.0,,1,0,0,0,1.336,89005,4.3,3,,2019-05-03,2019-05-03,1,10,,en,GB,True,Netflix,,
1483,Afghanistan: The Great Game,2012,,7.6,,1,0,0,0,,,,,,,,,,,,,,,,
1484,Dinotrux: Supercharged,2017,7+,7.1,,1,0,0,0,2.322,77962,9,3,,2018-08-03,2017-11-10,3,26,,en,US,True,Netflix,,
1485,"Noddy, Toyland Detective",2016,all,7.0,,1,0,0,0,6.378,73811,8,3,,2019-05-10,2016-10-10,2,77,,en,US,True,Channel 5,Full House,Sesame Street
1486,Inspector Gadget,2015,all,4.4,,1,0,0,0,18.103,4035,6.8,159,,1986-02-01,1983-09-10,2,86,,en,US,False,ABC Family,Inspector Gadget,ワンパンマン
1487,Singapore Social,2019,,6.6,,1,0,0,0,1.272,95715,0,0,,2019-11-22,2019-11-22,1,8,,en,,,,,
1488,Camelia La Texana,2014,,7.6,,1,0,0,0,0.996,83014,8,1,,2014-02-14,2014-02-14,1,,,,,,,,
1489,Word Party,2016,all,6.2,,1,0,0,0,2.252,67059,8,6,,2020-01-21,2016-07-08,4,50,,en,US,True,Netflix,,
1490,Weekend Aristocrats,2013,,,,1,0,0,0,,,,,,,,,,,,,,,,
1491,Clangers,2015,,7.7,,1,0,0,0,1.441,265,8.8,5,,2020-03-11,1969-11-16,5,130,,en,GB,True,CBeebies,フリクリ,寄生獣 セイの格率
1492,Hoff the Record,2015,16+,6.9,,1,0,1,0,2.636,63032,6.6,5,,2016-06-10,2015-06-18,2,12,,en,GB,True,Dave,The Comeback,Reno 911!
1493,Bindi's Bootcamp,2012,,6.2,,1,0,0,0,0.6,60344,6,2,,,,0,0,,,,,,,
1494,Best.Worst.Weekend.Ever.,2018,7+,6.3,,1,0,0,0,2.145,82656,7,3,,2018-10-19,2018-10-19,1,8,,en,,,,Comic Book Men,Bob
1495,Slobby's World,2017,,5.8,,1,0,0,0,0.635,85381,7,1,,2018-05-14,2017-08-15,1,24,,,,,,,
1496,Chosen,2018,,5.5,,1,0,0,0,5.978,26777,6.8,17,,2014-04-15,2013-01-17,3,18,,en,US,False,Crackle,,
1497,Popples,1986,all,6.4,,1,0,0,0,3.437,14408,6.5,4,,1987-06-27,1986-09-13,1,42,,,,,,,
1498,The Goop Lab,2020,18+,2.3,31%,1,0,0,0,1.38,97390,2.7,3,,2020-01-24,2020-01-24,1,6,,en,,,,,
1499,The Hairy Bikers' Asian Adventure,2014,7+,6.9,,1,0,0,0,0.656,80211,8,2,,2014-03-20,2014-02-13,1,6,,en,GB,False,BBC Two,"Diners, Drive-Ins and Dives",Anthony Bourdain: Parts Unknown
1500,The Fierce Wife,2010,16+,6.7,,1,0,0,0,2.97,40484,5,3,,2011-04-15,2010-11-05,1,23,,en,TW,False,TTV Main Channel,,
1501,Top 10 Secrets and Mysteries,2016,7+,5.1,,1,0,0,0,,,,,,,,,,,,,,,,
1502,The Gods of Wheat Street,2014,,8.2,,1,0,0,0,1.001,58785,8.2,3,,2014-05-17,2014-04-12,1,6,,en,AU,False,ABC,Blue Heelers,Miss Fisher's Murder Mysteries
1503,Brown Nation,2016,,6.9,,1,0,0,0,1.4,68727,7.2,5,,2016-11-15,2016-11-15,1,10,,en,,,,,
1504,Charlie's Colorforms City,2019,all,8.0,,1,0,0,0,3.008,87822,7,1,,2019-03-22,2019-03-22,1,26,,en,,,,,
1505,Tayee,2018,,8.1,,1,0,0,0,0.682,79676,5,2,,2018-05-17,2018-05-17,1,30,,ar,,,,,
1506,El Cartel 2,2010,16+,6.8,,1,0,0,0,159.597,7458,7.4,7,,2010-11-17,2008-06-04,2,107,,es,CO,True,Caracol TV,,
1507,Westside,2018,16+,5.8,20%,1,0,0,0,3.83,63141,5.1,7,,2019-08-12,2015-05-31,5,44,,en,NZ,True,Three,Outrageous Fortune,I'll Be Gone in the Dark
1508,What is Love,2012,,7.0,,1,0,0,0,0.6,56987,0,0,,,,0,0,,,,,,,
1509,The Little Nyonya,2008,,,,1,0,0,0,1.784,8416,9,1,,2009-01-06,2008-11-25,1,34,,en,SG,False,MediaCorp Channel 8,,
1510,Traffic Cops,2003,,7.2,,1,0,0,0,1.728,6039,0,0,,2018-08-06,2003-03-18,4,35,,en,GB,True,BBC One,,
1511,44 Cats,2019,,6.4,,1,0,0,0,3.56,89387,6,2,,2019-05-26,2018-11-11,5,66,,he,IT,True,Netflix,ポヨポヨ観察日記,"What's New, Pussycat!: Backstage at Cats with Tyler Hanes"
1512,Ghost Town Gold,2012,,7.0,,1,0,0,0,0.625,65023,8,1,,2012-11-15,2012-11-15,1,1,,,,,,,
1513,Clash of the Collectables,2017,,7.3,,1,0,0,0,,,,,,,,,,,,,,,,
1514,The In-Laws,2003,13+,5.7,34%,1,0,0,0,0.6,39508,0,0,,,,0,0,,en,SG,True,MediaCorp Channel 8,,
1515,Border Patrol,2002,7+,,,1,0,0,0,1.498,19910,0,0,,2010-06-21,2002-05-05,11,33,,en,NZ,True,TVNZ 1,Wings,Narcos
1516,Last Hope,2018,16+,5.8,,1,0,0,0,9.043,78434,4.9,9,,2018-09-20,2018-03-29,1,26,,ja,JP,True,Netflix,,
1517,The Hollywood Masters,2017,,7.1,,1,0,0,0,,,,,,,,,,,,,,,,
1518,Birdie Buddy,2011,7+,7.4,,1,0,0,0,2.376,40017,7.7,3,,2011-10-25,2011-08-08,1,24,,ko,KR,False,tvN,,
1519,The Paper,2008,,6.5,,1,0,0,0,4.087,14653,8.5,4,,1986-05-02,1978-09-09,4,58,,en,US,False,Showtime,검사 프린세스,
1520,Home: Adventures with Tip & Oh,2016,7+,5.8,,1,0,0,0,10.797,67242,7.2,9,,2018-07-20,2016-07-29,4,104,,en,US,True,Netflix,外星女生柴小七,フリクリ
1521,The Motorbike Show,2011,,8.4,,1,0,0,0,1.289,53165,8,2,,2018-05-09,2011-06-06,7,30,,en,GB,True,ITV4,仮面ライダ,Long Way Round
1522,"Love, Now",2007,,6.1,,1,0,0,0,0.62,48146,8,1,,,,0,0,,en,TW,True,Sanlih E-Television,,
1523,My Husband Won't Fit,2019,,6.7,,1,0,0,0,4.776,87815,7,3,,2019-03-20,2019-03-20,1,10,,ja,JP,False,Netflix,ダンスインザヴァンパイアバンド,꽃보다 남자
1524,Rimba Racer,2015,,8.1,,1,0,0,0,0.6,88318,0,0,,2015-04-04,2015-01-10,1,13,,en,,,,Die Schule der kleinen Vampire,To Me... To You...
1525,Court Justice: Sydney,2017,,7.0,,1,0,0,0,,,,,,,,,,,,,,,,
1526,The Casketeers,2018,16+,7.1,,1,0,0,0,1.31,84181,6.5,2,,2020-02-17,2018-12-21,3,21,,,,,,,
1527,Kong: King of the Apes,2016,7+,5.8,,1,0,0,0,5.543,66248,5.2,5,,2018-05-04,2016-04-15,2,23,,en,US,True,Netflix,エルゴプラクシー,ギルティクラウン
1528,The Dandy,2015,all,5.9,,1,0,0,0,2.187,64566,5.5,2,,2015-11-09,2015-10-26,1,9,,es,CO,True,Televisa,,
1529,Panda and Hedgehog,2012,,6.1,,1,0,0,0,2.271,49934,5.3,4,,2012-10-08,2012-08-18,1,16,,ko,KR,False,,맛있는 녀석들,食戟のソーマ
1530,A Man Called God,2010,,5.8,,1,0,0,0,4.15,38850,3,1,,2010-05-23,2010-03-06,1,24,,ko,KR,False,MBC,,
1531,The Judgement,2018,,6.8,,1,0,0,0,1.442,82270,6.5,2,,2018-11-01,2018-08-09,1,13,,th,TH,False,Netflix,,
1532,Animal Airport,2012,,7.9,,1,0,0,0,0.6,9325,7,1,,,,0,0,,,,,,,
1533,Eugenie Nights - ليالي أوجيني,2018,16+,7.6,,1,0,0,0,,,,,,,,,,,,,,,,
1534,Nailed It! France,2019,,6.4,,1,0,0,0,1.177,94913,7,1,,2019-10-25,2019-10-25,1,6,,,,,,,
1535,Cromo,2015,16+,6.8,,1,0,0,0,1.226,64609,10,1,,2015-12-22,2015-10-05,1,12,,es,AR,True,,Apache: La vida de Carlos Tevez,Un Gallo para Esculapio
1536,House Doctor,1998,,4.8,,1,0,0,0,5.857,11743,5.7,3,,2016-12-02,1998-08-24,7,132,,en,GB,True,Channel 5,Queer Eye,Escape to the Country
1537,The Last Nazis,2009,7+,6.6,,1,0,0,0,0.993,77173,6.6,5,,2009-09-26,2009-09-12,1,3,,en,GB,False,BBC Two,,
